职位名,学历要求,工作年限,公司名,公司地址,薪资,岗位描述
高级系统测试工程师G00705,本科,3-5年,云集共享科技有限公司,共和工业路48号南科创银谷4楼,1.5万-3万,"岗位职责：1、负责一个/多个交易平台或供应链后台的系统测试；2、根据产品设计、需求等文档提取测试点，设计测试用例，明确测试内容及验收标准；3、对测试实施过程中发现的软件问题进行跟踪分析、报告并协助研发定位问题，推动测试中发现问题及时合理的解决；4、负责研究测试方法和工具，不断完善测试方案，提升测试质量，降低产品线上BUG量；5、负责测试效率提升建设，自动化测试，持续集成等；6、引入行业相关测试技术和理念并推动实施，改善测试方法和测试工具，促进团队专业水平的提升；岗位要求：1、计算机相关专业，本科及以上学历，四年以上测试经验，有较强的质量意识；2、良好的逻辑思维能力 、较强的学习能力和发现问题能力；3、具备良好的团队合作精神、出色的表达沟通能力、较强的执行力和抗压能力；4、熟悉数据库mysql,熟悉Linux操作系统，了解TCP/IP Https等常见网络协议及常用测试工具；5、对自动化有深入理解，至少熟练使用一门语言java/python，并且有丰富的实践积累，能够灵活的运用到实际的工作中；6、具有大型电商交易平台、供应链后台、仓储物流、物流订单、WMS、TMS等相关经验者优先。"
性能测试工程师G00706,本科,3-5年,云集共享科技有限公司,共和工业路48号南科创银谷4楼,1.5万-3万,岗位职责：1、负责核心业务系统的线下压测、参与容量评估和线上全链路压测。2、负责分析与整理性能测试需求，制定性能测试方案并落实执行。3、负责高并发下服务器各项性能指标及问题的收集与分析、输出性能分析报告，协助开发解决问题并给出优化建议。4、研究性能测试方法和工具，不断完善性能测试框架。岗位要求：1、本科及以上学历，5年及以上性能测试实践经验，大并发大容量测试经验者优先。2、精通Loadrunner、Jmeter等主流性能测试工具，并能够根据需要选择适合工具。3、熟悉JProfile、jconsole、nmon监控工具。4、熟悉Locust、tsung等性能开源测试工具。5、熟悉web服务器、数据库服务器（Mysql、Mangodb、redis）、缓存服务器等主要性能指标的采集与分析。6、有丰富的http，webservice，socket协议的实际工作经验者优先。7、熟悉Springmvc、Mybatis、dubbo、redis、MQ等开发技术优先。8、具有Java、python丰富的开发经验优先。9、细心认真、逻辑思维严谨，具有较高的质量意识和团队合作意识。
性能测试工程师G00706,本科,3-5年,云集共享科技有限公司,共和工业路48号南科创银谷4楼,1.5万-3万,岗位职责：1、负责核心业务系统的线下压测、参与容量评估和线上全链路压测。2、负责分析与整理性能测试需求，制定性能测试方案并落实执行。3、负责高并发下服务器各项性能指标及问题的收集与分析、输出性能分析报告，协助开发解决问题并给出优化建议。4、研究性能测试方法和工具，不断完善性能测试框架。岗位要求：1、本科及以上学历，5年及以上性能测试实践经验，大并发大容量测试经验者优先。2、精通Loadrunner、Jmeter等主流性能测试工具，并能够根据需要选择适合工具。3、熟悉JProfile、jconsole、nmon监控工具。4、熟悉Locust、tsung等性能开源测试工具。5、熟悉web服务器、数据库服务器（Mysql、Mangodb、redis）、缓存服务器等主要性能指标的采集与分析。6、有丰富的http，webservice，socket协议的实际工作经验者优先。7、熟悉Springmvc、Mybatis、dubbo、redis、MQ等开发技术优先。8、具有Java、python丰富的开发经验优先。9、细心认真、逻辑思维严谨，具有较高的质量意识和团队合作意识。
测试开发工程师G00704,本科,3-5年,云集共享科技有限公司,共和工业路48号南科创银谷4楼,1.5万-3万,岗位职责：1、负责或参与某个业务线质量保证体系建设，包括但不限于需求评审、单元测试、静态代码分析、服务端测试、覆盖率分析、线上监控、全链路压测、专项测试等；2、负责或参与技术团队持续集成体系搭建及自动化测试平台的研发，参与产品线特色化的测试框架、工具的研发，运用敏捷测试方法和技术提升产品交付的质量和效率；3、根据业务需要参与用户产品的创新和开发。岗位要求：1、计算机相关专业本科以上学历，3年以上相关工作经验；2、能熟练地应用以下一门或几门技术进行软件开发：1)C/C++/Java; Linux/Unix Shell编程；2)Perl/Python/PHP; 网络技术及相应的开发；3)JavaScript/Html/Ajax；MySql/Oracle及相关数据库技术；3、热爱互联网，对互联网相关业务或技术充满好奇及热情；4、快速的产品及业务学习能力，敏捷而周到的逻辑思维能力；5、有责任心，敢于担当，工作积极主动，具备良好的团队合作精神，能融入多功能团队并与其他部门同事进行良好的沟通及合作；7、在软件测试领域，对发现、分析及解决问题的工作有浓厚兴趣。
视频智能算法工程师（中级）,硕士,3-5年,深圳市芊熠智能硬件有限公司,深圳市南山区南头关口二路智恒产业园30栋5楼502室,3万-5万,岗位职责：负责视频图像相关智能算法的调研、设计和开发工作。任职要求：1、硕士及以上学历，模式识别/数学/计算机/信息类相关专业，三年以上视频图像算法开发经验；2、熟练掌握C/C++、Python等编程语言3、熟悉深度学习理论以及常用神经网络模型VGG、ResNet等；4、熟练使用常用深度学习框架MXNet、TensorFlow、Pytorch、Caffe中一种；5、具备良好的沟通表达能力和团队合作意识；6、符合以下某一条件者优先：1）至少熟悉目标检测、人脸识别、OCR，车牌识别等方向中一种，并有相关项目经验；2）参加过深度学习相关的国际评测，并取得一定名次者注意：无算法开发经验慎投。
mogondb管理员,本科,3-5年,银盛科技服务集团有限公司,龙华区新区大道远景大厦7楼,1.2万-2.4万,"职位信息1、负责线上MongoDB集群的管理工作；2、负责DB集群的高可用性，保障数据安全、权限的分配和管理；3、根据业务需求，提供高可靠、弹性伸缩的解决方案；4、负责DB的监控分析，发现DB的性能瓶颈，制定并实施DB优化方案。岗位要求1、熟悉MongoDB部署、调优、备份、数据分块、索引设计以及数据提取等日常运维操作。2、shell、python、perl等任一种脚本语言开发经验。3、熟悉zabbix，nagios，cacti,mongodb-mms等任一种监控平台工具的优先。4、熟悉saltstack、ansible、puppet等任一种自动化配置管理工具的优先5、深刻理解MongoDB或其他NoSQL数据库底层原理，能解决数据库层面的疑难杂症"
高级运维工程师（熟悉KVM）,大专,5-10年,深圳前海小鸟云计算有限公司,深圳市南山区深圳湾科技生态园二区9栋B5座920,1万-2万,岗位职责：1、负责所有生产服务器的监控优化、管理、维护及云平台资源池管理；2、产品问题收集，配合研发部门改进，优化客户体验；3、负责产品运维技术团队的日常管理和建设工作；4、根据上级安排的任务制定本团队工作计划并监督执行；5、负责产品部署流程的制定、完善、执行及监管。任职要求：1、大专及以上学历，计算机相关专业，5年以上运维经验，有团队管理经验优先；2、精通Linux系统及常见服务的安装配置和维护，掌握VMware、KVM虚拟化技术；3、精通zabbix、nagios等服务的安装、配置和维护；4、熟悉1种以上的脚本语言，包括：Shell、PERL、Python等；5、能够快速定位运维过程中出现的服务故障、系统故障、网络故障；6、高度的责任感，学习能力强，能够承受工作压力，具有良好团队协作能力和执行力；7、有运维自动化平台、监控系统等开发经验者优先。
自动化测试助理工程师,大专,不限,深圳市腾信数据信息有限公司,福田区梅林街道多丽工业园,6千-8千,岗位职责：1.搭建自动化框架，实现WEB端、APP端的自动化测试；编写符合需求与设计的自动化测试用例；2.开发、调试、执行自动化测试脚本，准确定位并跟踪问题，出具测试报告；3.推进部门的测试自动化覆盖率，提升测试质量和效率； 计算机相关专业；4.对互联网与移动客户端测试有浓厚的兴趣和丰富的经验，有很强的分析能力和问题定位能力；5.熟悉Selenium、Robotium、Appium等开源框架和开发语言如Java、Python、Ruby等语言；思路清晰，善于交流，有良好的团队精神与跨部门的协调能力；6.对linux、Java、性能监控和调优有一定的了解，有性能测试经验者优先。熟悉移动平台 ios/android 等平台的测试方法。
C++开发工程师（深度学习）,本科,1-3年,深圳市深网视界科技有限公司,深圳市南山区科技园高新南四道创维半导体大厦东座8楼,1.5万-2.2万,"岗位职责：1、常用Deep Learning framework（包括但不限于Caffe2，TensorFlow，Pytorch，MXNet）等软件的维护和feature调研，对大型软件进行较快的调研并进一步实现需求。2、对公司内部使用的Framework进行核心模块优化、提高易用性以及日常维护。任职要求：1、代码级别上非常熟悉至少一种主流Deep Learning framework（Caffe、 Caffe2、Pytorch、Tensorflow、MXNet、Keras）。2、良好的编程习惯, 熟悉Git、CMake等开发工具，有自信维护较大的软件系统。3、非常熟悉C++或C++11，了解Python，很强的解决问题的能力。4、有并行计算与优化移植经验，尤其是CUDA/OpenCL方向的优先考虑。5、此岗位是深度学习方向的，必须有深度学习项目经验。"
信号处理工程师,硕士,不限,深圳市海柔创新科技有限公司,西乡固戌地铁站走5-10分钟,2万-3万,"岗位职责：1. 主导机器人项目中涉及的传感器（相机、Lidar等) 导入、验证、评估；2. 开发机器人可靠传感器相关算法，对各类感知数据信号进行识别及处理；3. 开发机器人传感器标定算法；4. 结合控制、导航模块实现机器人功能集成验证。任职要求：1. 机器人，自动化，计算机及相关专业硕士科以上学历；2. 掌握各类ISPs算法包含: 图像矫正、锐化、增强、去噪等算法原理；3. 具有图像分析算法包含：物体识别、检测、定位、跟踪 实现经验；4. 熟悉Lidar数据处理包含：定位、分割、识别等算法；5. 了解多传感器联合校准方法；6. 熟练使用python, matlab, c/c++；7. 熟悉opencv, opencl, pcl, tensorflow等库。"
软件测试工程师（应届生）,本科,不限,深圳市潮流网络技术有限公司,深圳市南山区科技园高新北六道36号彩虹科技大厦4楼,6千-7.5千,我们希望您具备:1、通信、自动化、数字、电子、计算机、软件、网络、测控、信息管理及其相关专业，全日制本科学历；2、英语四级以上，有较好的英语阅读和书写能力；3、工作认真负责，有耐心，能够承担快节奏的工作压力，具备团队合作精神；4、如有以下相关专业知识技术基础者优先考虑：A、对通信协议有一定的理解，了解TCP/IP协议及业务流程；B、熟练应用Linux/Unix操作系统，网络技术基础扎实，了解路由/交换机/PBX工作原理;C、熟悉python且有使用python编写自动化脚本;您的工作职责：1、负责公司多媒体话机/网关/服务器/视频监控等产品的功能测试和性能测试；2、根据产品需求和开发计划，进行测试需求分析，制定测试计划，设计测试方案和用例；3、执行测试并对测试过程中发现的问题进行分析和报告，并协助开发人员进行问题定位和解决。
bi工程师,大专,1-3年,深圳市博悦科创科技有限公司,平安金融大厦,9千-1.6万,工作职责：1、负责数据接入、数据提取、数据清洗、底层重构、业务主题建模等工作；2、参与数据集市开发，用户画像标签开发；3、负责接口平台、自助分析平台等系统的建设和维护；4、针对具体大数据应用场景，提供有效解决方案，并针对具体模型落地实施；应聘要求：1、大专及以上学历、计算机相关专业，3年以上开发经验；2、熟悉SQL，至少熟悉Oracle/Mysql/Posgresql中的一种。3、掌握Hive、Hbase、Spark/Spark streaming、Kafka组件的架构及实现原理，阅读过部分源码，能对其进行故障分析、性能调优；4、热爱技术，有很强的钻研能力，乐于接受有挑战性的任务。5、大型互联网工作经验者，处理高性能、高并发实践经验者、精通Scala、Python者优先考虑。6、具备良好的学习能力、分析和解决问题能力；7、具有高度的责任心和团队合作精神.
应用维护工程师,大专,1-3年,深圳黄金投资有限公司,深圳市福田区车公庙泰然八路深业泰然大厦B座4楼,8千-1.6万,岗位职责：1、负责手机贵金属应用系统的配置、管理、系统升级、上线的部署、功能验证、性能优化以及日常的备份维护等工作。2、巡检值班维护平台的正常运行和故障响应处理，包括系统监控与维护、故障分析排查和处理。3、负责应用系统SVN版本发布、配合技术文档的编写、操作、维护手册的拟定，辅助进行用户培训工作。4、制定运维风险清单和应急方案以及优化方案。定期开展应急演练及安全评估审计。5、协助落实公司技术支持工作。任职要求：1、全日制大专以上学历，计算机、软件工程、网络工程等相关专业，有中级系统工程师资质者优先。2、二年以上的应用系统运维经验，金融行业经验者佳。3、精通linux，windows操作系统及SQL Server、MySQL、Oracle等常用数据库。4、熟练使用shell、python等脚本语言维护。5、掌握java、c++、c#等开发语言。6、熟悉路由器、防火墙、交换机相关网络基础知识。7、有一定故障应急判断分析处理经验，日志分析能力强。服务意思强，处理问题主动积极。8、有良好的团队协作精神，对工作充满热情，富有责任心，能承受一定强度的工作压力。
java开发工程师,本科,1-3年,深圳市仁和兴业投资有限公司,深圳市龙岗区南联路24号仁和兴业大厦9F,6千-8千,"岗位职责：1、负责后台java和相关数据库开发，2、具备快速学习和使用第三方技术组件，开源组件，按需完成，3、具备独立技术开发能力；4、配合项目经理或技术经理完成分派的任务；5、程序和编码规范，章法明确；任职资格：1、掌握java开发技能，具有前端开发经验优先；2、熟悉spring、springboot， strust2, hibernate等框架，了解maven项目管理，有实际项目经验3、熟悉主流数据库如Mysql指令及用法；4、熟悉DIV+CSS，Html5，JavaScript、Ajax、Json、XML、vue、等web前端相关技术，熟悉python优先；5、具备较强的逻辑思维能力、良好的沟通力、表达力、团队协作力以及责任心。"
TD（动漫）,本科,1-3年,华强方特文化科技集团股份有限公司,深圳市南山区高新中一路华强高新发展大楼9-15楼,5千-1万,岗位职责：1、负责CG制作整体流程系统的规划和开发。2、负责开发各种绑定工具，以提高绑定质量和效率，方便与动画师制作动画。3、负责灯光合成渲染中技术脚本研发，帮助提高渲染中的质量和效率。任职要求：1、熟悉Mel，Python的使用，能够使用Mel、Python编写脚本，开发各种绑定工具，解决项目中的问题，帮助提高制作效率。2、熟悉Python各个类库，编写流程中需要的插件，并且可以熟练使用PyQt编写插件界面。3、熟悉C\C++，能独立开发CG流程系统管理软件，熟悉使用maya的各种变形器，对肌肉、毛发有相应深入的研究。4、熟悉各种绑定系统，具备可以独立开发绑定系统、面部表情系统的能力。5、了解MayaApI的开发，辅助完成一些新技术的研发工作，能针对变形器进行对立开发。6、对渲染农场有深入了解，能够编写相应软件的渲染模版脚本。7、参与过大型三维电影、电视剧或CG片的制作，善于规划制作流程。
软件自动化测试工程师（无线AP方向）,本科,1-3年,深圳市潮流网络技术有限公司,深圳市南山区科技园高新北六道36号彩虹科技大厦4楼,9千-1.2万,岗位职责：1、参与无线AP，路由产品的自动化测试开发。2、根据产品版本的更新，及时更新自动化测试程序，保证自动化测试按时完成。3、优化现有自动化测试框架，提升测试效率。4、公司其他产品的自动化测试开发。任职要求：1、熟悉TCP/IP协议及网络协议。2、熟悉Linux系统，能搭建简单的测试环境。3、精通Python或java语言，熟悉selenium框架。4、熟悉 robotframework Xpath / Android monkey / Uiautomator / Robotium；5、能够根据测试需求和计划合理设计测试用例。6、具备较强的逻辑分析及学习能力，有良好的团队合作意识，有强烈的责任心和积极主动的工作态度，较强的沟通能力和表达能力。7、有路由器和无线产品测试相关经验优先。
云计算后台开发工程师,本科,1-3年,深圳市挺好网络有限公司,福田,2万-3.5万,云计算后台开发工程师(优秀者薪资可面议）职位描述：1.负责晶体计算相关的业务的后端及中间件研发。2.包括但不限于云上计算框架的架构、实施、部署与运维工作。3.与业务分析团队紧密配合并设计技术解决方案。4.数据驱动，有较强的跨学科学习能力。职位要求：1.熟练掌握至少一种编程语言，如Python、Golang、Node.js等。2.熟练掌握数据结构、算法及模式设计，有良好的编码风格及代码版本管理习惯。3. 熟练掌握关系型数据库及NoSQL相关知识。4. 有AWS、腾讯云、华为云、阿里云等公有云的后端开发经验者优先。福利：五险一金全额缴纳7天带薪年假，弹性不打卡，周末双休为异地来深入职的同学提供住宿过渡补贴：博后：3000元；博士：2500元；本硕：1500元生日会、水果下午茶、节日礼品等！
测试工程师,大专,1-3年,深圳市特别特科技有限公司,深圳市龙岗区李朗万国食品城C座22楼A,8千-1万,职位描述：1、参与软件产品的需求分析，并能预先评估项目的风险；2、参与应用系统集成和系统测试（制定测试计划、编写测试用例、测试执行及缺陷跟踪管理、测试报告编写），并对软件问题进行跟踪分析和报告，推动测试中对发现的问题及时合理地解决；3、与研发等相关部门进行有效沟通，并协助研发人员定位问题；4、负责管理整个团队使用的测试环境；5、对测试版本进行配置管理和版本控制，记录版本提交时间；职位要求：1、本科及以上学历，计算机相关专业；2、熟悉软件测试理论、流程和方法，至少2年以上软件测试工作经验，具备银行、电商系统、安卓APP和IOS APP测试经验优先；3、有较强的逻辑分析能力，精通测试用例设计；4、熟悉Mysql等数据库及使用；5、熟悉java或Python开发语言、能编写脚本辅助测试优先；6、熟悉Linux系统和环境部署，有性能测试经验、自动化测试、接口测试、安全性测试经验优先；7、能熟练使用QC或禅道、jira等测试管理工具，熟悉缺陷管理流程；
前端开发工程师,本科,3-5年,深圳金赢在线科技服务有限公司,深圳市福田区车公庙深业泰然大厦B401,1.5万-2万,岗位职责：1、 负责前端工程的开发和构建；2、 负责前端模块化设计及优化；3、 负责对页面进行性能优化以及特性开发，以提升用户体验及性能；4、 负责与后台开发人员配合完成项目。任职要求：1、 本科及以上学历，计算机相关专业，3年以上前端开发经验；2、 精通JavaScript，熟悉常用ES6语法；3、 熟练掌握HTML5、CSS3，对web标准化有深入见解，了解主流JS框架（如jQuery，Vuejs、Reactjs等）并至少熟练使用一种;4、 具备动画能力( css3 + animation)及绘图能力(canvas +svg)，掌握Photoshop的使用；5、 至少熟练react、vue、angular等其中一种框架，能使用构建工具(webpack等)搭建相应开发环境，熟练vue者优先；6、 熟练掌握nodejs，能用nodejs编写简单的脚本工具、能搭建服务端渲染环境；7、 掌握至少一门服务端开发语言（PHP、Python等）；8、 工作积极主动，善于沟通，有良好的团队合作能力。
计算机软件开发/计算机软件工程师,本科,1-3年,威尔沃(深圳)科技有限公司,罗湖区翠竹街道太宁路85号罗湖科技大厦311,1万-1.5万,岗位职责：1，参与公司产品的设计、开发、测试、运维等过程；参与开发需求进行评审，制定项目的设计文档、开发计划文档等；2、对现有工作中的技术实现代码进行思考与创新和优化，使代码更合理，更方便调用和修改。3、负责公司网站的日常维护升级和优化改进工作以及网站服务器的维护工作。4、维护网站服务器数据（修改、备份），保障网站运行正常、稳定。能提出较好较新的网络技术，促进网站的改版和更新。5、负责管理维护公司多个网站后台，并与相关人员配合完成新建网站后台的搭建工作。岗位要求：1、全日制统招本科以上学历，2年以上开发经验；2、熟悉Oracle、Mysql等数据库的配置和开发，熟悉SQL调优；3、具备独立设计数据库的能力，熟悉主流缓存技术，有大型网站或者电子商务网站开发经验优先考虑；4、精通PHP语言，熟练掌握HTML、CSS、JavaScript、AJAX、JSON等Web页面技术；5、熟悉java、python、git。Linux环境后台工作经验。熟悉JQuery等一种或多种JS框架；6、熟悉各种Web缓存技术，熟悉大型网站构架和性能优化；7、有水务系统开发经验者优先录用；8、工资面议。
资深金融量化工程师,硕士,不限,深圳中科图灵科技有限公司,南山区科苑路15号科兴科学园B4座2层,1.5万-3万,岗位职责：1. 负责研究和开发金融产品估值定价模型并计算相关风险指标；2. 进行量化研究分析，主要负责绝对收益类量化投资/交易策略的设计与开发；通过量化策略的方式协助投资组合的管理；为投资组合以及风险管理开发工具；3. 基于金融衍生品及相关基础金融产品设计、开发投资策略；4. 履行投资策略产品化和新产品设计开发职责；5. 辅助投资经理，综合实际市场情况、投资策略特征等各类要素，协助对投资策略进行投资决策；辅助投资经理进行投资策略产品和其他产品的投资运作；6. 根据投资策略和产品的开发进度，结合实际需要，通过自主或者合作方式开发相应的投资交易系统；7. 对已有投资策略、投资策略产品及其他产品持续维护、优化和改进，维护投资交易系统，并根据后续需求对系统进行更新和升级。岗位要求：1. 数学、物理、统计、计算机、金融工程等理科专业，硕士学位以上，PhD优先，具有金融与跨专业教育背景者优先；2. 具有两年以上金融量化分析及建模经验；3. 熟悉风险计量模型和金融产品定价理论；4. 具有资深统计及风险建模经验者优先；5. C++、Java、Python、R、Matlab等相关计算机语言编程能力，熟悉证券及金融衍生品的相关交易规则及法规；6. 熟悉信用风险计量模型及评级模型；7. 具备理解英文技术文档和论文的能力；8. 具有强烈的责任心和进取精神。
软件测试工程师（招商金科）,本科,1-3年,深圳市博悦科创科技有限公司,深业上城T2写字楼 （莲花村地铁C出口）,1万-1.5万,"1）有较强的接口测试能力，熟悉jmeter,postman等测试工具。2）有web测试、性能测试经验和熟悉sql语法命令。3）熟悉RobotFramework、Selenium、python等自动化测试工具。4）有JAVA编程或者金融、保险测试工作经验优先考虑。"
安全运维工程师,大专,1-3年,深圳捷盟网络科技有限公司,深圳市宝安区西乡旭升B区6栋综合楼810（即旭升文化中心低层楼）,1.5万-2.5万,岗位职责1. 负责公司内网和生产环境的安全体系建设，协助制定安全标准和流程。2. 负责防火墙安全策略、WAF、VPN、堡垒机制部署和运维、服务器及办公PC的补丁管理、内网安全管控。3. 负责根据监管要求及行业规范，设计部署网络安全体系，制定网络安全运维规范。4. 处理突发安全事件。5. 配合产品开发组进行应用和服务的部署、测试、调优、运营等工作。6. 管理和分配工作中用到的服务器资源。任职要求1. 常用工作环境 Linux 系统，熟练掌握各种服务配置和优化，包括nginx、集群等。2. 熟悉 WAF、WebIDS 工作原理，具备 WAF、WebIDS、ELK 日志分析运维优化经验。3. 熟悉常见 Web 安全漏洞分析与防范，包括 SQL 注入、XSS、CSRF 等 OWASP TOP 10 安全风险。4. 熟悉网络路由与交换技术，熟悉数据库技术。5. 对安全有浓厚兴趣并深入了解某领域安全知识，具有良好的安全理念，对安全问题敏感。6. 具备 Python/Shell 脚本开发能力者优先。7. 有大型项目的数据库以及其他服务的管理经验者优先。
资深优化算法专家,硕士,3-5年,深圳市海柔创新科技有限公司,西乡固戌地铁站走5-10分钟,2.5万-4万,工作职责：1. 遵循公司相关技术标准、规范，高质量完成设计、开发任务；2. 参与系统需求分析和详细设计工作；3. 主要负责系统算法效率优化工作；工作要求：1.三年以上相关工作经验；2. 计算机相关专业，优秀硕士及博士学历，具备扎实的数学功底和算法功底，精通Operation Research；3. 精通数据挖掘，机器学习，整数规划等基本理论和常用算法，并从事过相关研发工作；4. 精通C++或者Java，熟悉一门以上脚本语言(如python等)，扎实的编码和调试能力；熟练在Linux环境下工作；熟悉网络编程，多线程编程技术;5. 熟悉mysql或者其他大型数据库，有大数据存储、分析经验者优先；6. 扎实的独立分析问题、解决问题的能力，具备良好的需求理解能力、沟通协调能力和团队合作精神；7. 具有高度的责任感和耐心细致的工作态度。加分项：1.参加过ACM算法竞赛；2. 参加过奥林匹克信息学竞赛；3. 发表过相关领域国际论文。
视觉算法工程师,硕士,3-5年,深圳市海柔创新科技有限公司,西乡固戌地铁站走5-10分钟,1.3万-2.5万,"岗位职责：1. 主导机器人项目中涉及的传感器（相机、Lidar、Imu等) 导入、验证、评估；2. 开发机器人可靠传感器相关算法，对各类感知数据进行识别及处理；3. 开发机器人传感器标定算法；4. 结合控制、导航模块实现机器人功能集成验证。任职要求：1. 机器人，自动化，计算机及相关专业硕士科以上学历；2. 掌握各类ISPs算法包含: 图像矫正、锐化、增强、去噪等算法原理；3. 具有图像分析算法包含：物体识别、检测、定位、跟踪 实现经验；4. 熟悉Lidar数据处理包含：定位、分割、识别等算法；5. 了解多传感器联合校准方法；6. 熟练使用python, matlab, c/c++；7. 熟悉opencv, opencl, pcl, tensorflow等库。"
php开发工程师,本科,1-3年,深圳市中电网络技术有限公司,深圳市南山区武汉大学深圳产学研大楼A902,1万-2万,岗位职责：1、参与其他部门提出的需求讨论，从技术角度出发给予解决方案；2、PHP程序开发及MySQL数据库设计，参与网站的前后台程序开发；3、对网站新业务进行开发并对现有功能进行优化；4、快速学习互联网领域的新技术，并运用到实际开发中。职位要求：1、统招本科及以上学历，软件工程、计算机科学与技术、网络工程等专业，三年以上PHP/MySQL开发经验；2、熟悉PHP面向对象和MVC开发，精通Laravel PHP开发框架；3、熟练掌握MySQL数据库及优化经验；4、熟练掌握常用开发工具，熟悉常用版本控制工具git，SVN等；5、熟悉linux系统，会简单的shell脚本；6、具有大中型网站程序开发经验者优先。7、如果熟悉 Python 开发，也请注明相关开发经验。薪资福利：1、公司为员工提供行业内极具竞争力的薪酬福利，标准年收入30W-50W；2、入职当月购买社保公积金，享受年度员工体检计划关爱员工健康；3、互联网公司管理模式，工作氛围轻松，办公环境优越。4、假期丰富，团队旅游、生日会、下午茶、节日礼金礼品一应俱全；5、提供双通道的职业发展路径和良好的发展平台；6、核心骨干员工持股计划。= = = = = = = = = = =我爱方案网是中国领先的电子方案设计服务平台拥有智能产品技术开发、方案超市交易、电子元器件销售三大功能服务，并提供技术交易大数据和新媒体服务。【快包平台】智能产品开发外包服务平台，累计受理5000多个高质量智能产品开发任务，积累了一批优质服务商，为客户提供软件、单品和系统级开发服务。快包是深圳市政府重点支持的创客服务平台，也是广东省省级科研众包平台。我们致力于促进集成电路应用，发展行业电子技术应用，为雇主提供快捷、可信、专业的软硬件项目外包开发服务。【方案超市】拥有6000+优质电子设计方案云数据库，面向智能穿戴、家居、工业、农业、医疗、电力等行业企业提供丰富高性价比、可量产的模块、板卡以及成品方案，帮助企业快速实现产品的开发和量产，同时也为新产品的开发提供稳定可靠的参考设计。【电子元器件销售】依托产品研发服务，深入挖掘精准客户，提供相应电子元器件供应链服务，并与国内外知名半导体厂商、大型代理商、分销商、贸易商形成资本与业务合作，能够满足客户多样化需求，业务范围涉及汽车电子、轨道交通、仪器仪表、自动化控制、网络通信、医疗设备、智能家居等行业和领域。
（大数据）项目技术专员,本科,不限,上海慕悉玛商务咨询有限公司,福田区竹子林三路竹盛花园三期裙楼201号（园博园联合创业社内）,7千-1万,"Mu Sigma是世界上最大的决策科学和分析公司之一。我们帮助美国，欧洲，澳大利亚，亚太地区等10大行业内的140多家“财富500强”客户实现数据驱动决策的制度化，利用大数据进行分析决策。我们为客户提供专有技术平台、流程和人员整合起来的整体生态系统。这个生态系统有助于我们扩大使用Mu Sigma独特的跨学科方法，将数学，商业，技术，行为科学和设计思维相结合，以实施决策科学而不是数据科学。我们采用跨行业专业知识解决问题的独特方法，进一步巩固了我们与客户的可持续互动模式，使我们成为受欢迎的分析和决策科学合作伙伴之一。我们拥有超过3500名决策科学专业人士，并自豪地成为了创新行业和专业职业的旗帜公司。随着我们不断扩大规模，我们也在为公司寻找各个层面的合适人才。而我们独特的人才管理理念已经被“哈佛商业评论”所推崇。角色与责任:工作方面·与客户合作，了解他们的业务挑战并制定业务问题·确定有助于实现解决方案的正确数据元素·确保所提供的服务被客户使用，并创造切实的业务影响·通过了解客户业务并在其业务环境中将数据分析制度化，与客户建立积极的关系技术方面·研究，推荐，开发算法以解决端到端的业务问题·与业务和技术团队协作，了解客户，为功能设计和可用性提供有价值的信息·深入研究生产和模拟中的复杂算法问题·为数据科学团队计量指标和报告技能与胜任力:·拥有强大的分析/逻辑思维能力和思想清晰度·能够快速学习复杂业务，准确定义问题，同时注意解决方案中的细节·有优秀的Excel，VBA /宏，SQL经验，SAS / R的技能·能够使用分析工具从多个来源提取和分析数据·能够在紧迫的期限内管理和完成多项任务·拥有项目管理经验优先掌握/有相关经验/ 对以下感兴趣·Python (Scikit, Tensor Flow, Pandas, Scipyetc.) & R 语言·SQL, Hadoop 和关系型数据库, 数据库·预测分析和数学编程·有用Excel,R-Studio, HTML, JAVA, 微信应用构建快速，用户友好的原型应用程序的经验·基础英文写作及口语交流需具备的素质:在Mu Sigma你将会听到这句格言:“学习胜于知道(Learning over Knowing)”。这是我们的信奉原则之一，我们希望每一个MuSigma同事都能展现对学习的热情。除此之外我们也需要：解决问题的思维(A problem-solving mindset)：你要具有善于分析的思维，这将帮助你理解客户的问题，这样你就能以同样清晰的方式和印度的同事沟通，并与他们合作，尽可能以最好的方式解决问题，运用最根本的解决方案。批判性的眼光(A critical eye)：我们希望有人提出问题，总是探究“为什么？”或者“那又怎样？”，我们珍视反向思考。人际交往能力(Interpersonal skills)：我们的工作主要涉及和包括客户在内的多方利益相关者进行互动。即便当你告诉客户他们错了，他们仍然喜欢和尊重你，MuSigma的另一个信奉原则是重视跨学科的观点。这在我们如何对待工作和招聘中得到实践。为此，我们在所有学科中进行招聘：艺术/科学/商业的学士或者硕士。旅程从印度开始:在15世纪，哥伦布出发前往印度，寻求在香料贸易中建立一个重要的经济通道。快进入21世纪，你会发现印度不仅仅是一个门户通道。这个国家已经具备丰富的人才、思想和创新的资源，它是我们创新、规模化和自动化的枢纽中心。因此，我们建立了MuSigma大学，将新员工带到班加罗尔的公司，进行全面的课程学习。该课程结合了沉浸式、以工作为基础的学习和在职指导，两者都以MuSigma的方式教育和培养了新员工。教育背景：工程学，计算机科学，数学，管理信息系统，信息技术，统计学或经济学（有相关量化经验）本科或硕士"
