职位名,学历要求,工作年限,公司名,公司地址,薪资,岗位描述
数据分析实习生,大专,不限,深圳市汇满正科技有限公司,龙华新区清湖地铁站附近,4千-6千,1、参与分布式数据仓库的主题模型设计和宽表开发工作；2、参与大数据分析需求设计和开发，承担数据抽取、清洗、转化等数据处理程序开发；3、参与大数据平台中实时计算和分布式并行计算的程序开发。岗位要求：1、专业不限，经济学、金融学、统计学、应用数学相关专业优先；2、对数据分析工作感兴趣，对数字较为敏感，能够熟练使用excel等办公软件；3．有较强的学习能力，对技术有钻研精神，并有较高的热情，热衷于新技术学习和实践；4．优秀的团队合作精神，对工作有热情，能够承受住压力；福利待遇
数据分析专员,大专,不限,深圳市耀光佳捷科技有限公司,宝安中心,6千-8千,岗位职责：通过数据分析、研究用户的消费行为和用户需求，按照用户特征类，划分用户结构职位要求：1、大专及以上学历，数学、统计学、计算机等相关专业优先考虑；2、具备有较强的数据分析能力，精通excel、PPT，制图制表；3、拥有一定开发语言技能，Python、SQL等相关软件；4、两年以上相关工作经验优先考虑；5、团队合作精神佳、抗压能力强。
数据分析专员,大专,不限,深圳优品科技有限公司,西丽,5千-7千,通过数据分析、研究用户的消费行为和用户需求，按照用户特征类，划分用户结构职位要求：1、大专及以上学历，数学、统计学、计算机等相关专业优先考虑；2、具备有较强的数据分析能力，非常精通excel、PPT，制图制表；3、拥有一定开发语言技能，Python、SQL等相关软件；4、两年以上相关工作经验优先考虑；5、团队合作精神佳、抗压能力强。
游戏数据分析师,不限,3-5年,深圳市创梦天地科技股份有限公司,深圳市南山区科兴科学园A3栋16层,1.5万-2.5万,工作职责：1.负责公司日常游戏产品的数据对接，完善数据分析体系，为平台及运营提供数据监控报表支持；2.建立关键指标的日常监控机制，对数据波动进行原因挖掘，推动游戏内容及运营策略调优；3.综合使用数据分析、用户研究等多种手段，对重点内容进行专项研究，为项目提供产品调优决策；4.基于研究结果推动问题解决或内容优化，并持续关注后续数据表现及用户反馈；5.负责接入并持续维护数据分析相关的管理工具。任职要求：1.拥有2年及以上游戏数据分析工作经验，热爱游戏；2.对数据及用户反馈比较敏感，能快速定位问题方向，快速展开分析；3.有较强的分析能力，善于总结提炼核心结论，优秀的报告撰写能力者优先；4.优秀的逻辑能力及沟通能力，积极主动，善于思考，有较强的抗压性和责任感。
数据分析师,本科,不限,深圳新东方培训学校,南山区大冲国际中心14楼,7千-1万,【岗位职责】职责一：教学数据分析与统计工作标准：准确、及时工作任务及要求：1、完成校区报名统计、新老生统计，每周教学部门和市场部门数据需求；2、负责BR数据系统维护，完成对集团及教学部门的数据对接；3、完成教学部门的临时数据需求。职责二：数据模型建立工作标准：准确、贴合教学部门实际工作任务：1、根据往年招生情况等数据，建立对教学部门招生及设班有指导意义的盈利模型，帮助教学部门合理设班，完成预算；2、根据以往及未来开班情况等数据，为各教学部门提供教室需求分析，使教室数量得到合理分配，提高教室使用率及其他各项资源使用率；3、根据以往报班情况，为教学部门顾问及市场提供推广建议；4、建立其他各项支持教学部门增强盈利的数据模型。【任职要求】1、本科及以上学历；2、精通ExcelL，会熟练使用Excel公式或VBA；3、责任心强，上进好学，认真细致，有良好的沟通协调能力；4、有数据类工作经验者优先。
管理培训生（数据统计分析）,本科,不限,德邦物流股份有限公司,--盐田区东海道427号,4.3千-5千,德邦未来之星 2018管培生计划--有胆你就来！德邦未来之星 2018管培生计划--有胆你就来！德邦未来之星 2018管培生计划--有胆你就来！德邦(股票代码603056)成立于1996年，致力成为以客户为中心，覆盖快递、快运、整车、仓储与供应链、跨境等多元业务的综合性物流供应商。我们凭借坚实的网络基础、强大的人才储备、深刻的市场洞悉，为跨行业的客户创造多元、灵活、高效的物流选择，让物流赋予企业更大的商业价值，赋予消费者更卓越的体验。德邦始终紧随客户需求而持续创新，坚持自营门店与事业合伙人相结合的网络拓展模式，搭建优选线路，优化运力成本，为客户提供快速高效、便捷及时、安全可靠的服务。截至2018年1月，公司网点近10000家，服务网络覆盖全国34个省级行政区，全国转运中心总面积超过120万平方米。目前，德邦正从国际快递、跨境电商、国际货代三大方向切入跨境市场，已开通韩国、日本、泰国等多条国际线路，全球员工人数超过13万名。2005年在同行业最早启动校园招聘以来，十一年累计招聘1万余名本硕博应届毕业生；2012-2017年连续荣获中国年度最佳雇主。德邦拥有独特的人才培训选拔体系，以个人能力为核心，公平公开公正，为能者提供一个开放透明的竞争平台 。德邦以进取者为本，以业绩为核心，德邦不断优化绩效考核，使资源向绩优者倾斜，激励员工专注提升客户服务体验。-------------------------------------------------------------------------------------------------------------------------------德聚英才 邦你未来未来 为你而来一、成长规划管理人才和专业人才双向发展渠道1.管理通道晋升：员工→经理（周期0.7-2年）→高级经理（周期2-3年）→总监（周期3-5年）2.专业通道晋升：员工→专员（周期0.7-2年）→高级专员（周期2-3年）→资深专员（周期3-5年）二、岗位需求我们希望你：1.本��学历，专业不限，物流相关专业优先；2.应届毕业生，可接收实习生；3.熟练使用office等常用办公软件；4.热爱物流行业，认同公司企业文化及发展愿景，服从公司分配者优先；5.优秀学生干部，有实习 、大赛、社团等经历者优先。三、岗位方向我们为你提供的岗位：数据统计分析 培养方向：业务中高层管理岗、专业职能部门业务研究1.对数据进行实时收集、更新、汇总；2.根据指标跟踪、反馈异常数据；3.及时传达标准文件、监督落实。四、薪资福利为你提供：1.正式员工工资：4300-5000元左右，实习生3100-3800，月休6-7天；2.公司99%的管理人员由内部产生，所有员工可以选择管理或专业两条道路发展，公司为员工提供各类培训机会，定期组织各种业务、工作、能力提升等相关内部培训与户外拓展；3.五险一金、各类带薪休假（法定假日、年假、婚假、产假、陪产假等），提供高于同行业具有竞争力的薪资水平；4.亲情1+1（公司补贴100元，员工自己提供100元，每月固定200元打入父母帐户）、集体婚礼、家庭全程无忧、月饼到家、配车等特色福利，提供高于同行业具有竞争力的薪资水平。五、岗位定位：致未来的你：公司储备管理人员，按照公司的规划和要求，进行部门营销和客户维护活动；配合经理完成部门工作，提升部门收入，完成部门指标，对内营造良好工作氛围，对外展现良好的德邦形象。公司99％的管理人员由内部晋升，有管理型和专业型双发展通道，鼓励进行轮岗，促进个人多元化发展六、联系方式：德邦 开启未来的路简历投递邮箱：**************************（注意：近期不能上岗，请勿投递简历；请使用个人邮箱发送）（格式：姓名+学校+学历+年级+手机号码+应聘岗位）七、工作区域：深圳市面试地点：深圳盐田区东海道427号德邦1楼面试厅（深圳总部）
数据分析/运营,本科,1-3年,云杉智慧新能源技术有限公司,振华路中电迪富大厦8楼,1万-1.5万,岗位职责：1.负责运营数据体系的建设和完善，建立及完善数据监控流程，提供周期性运营分析报告；2.深入熟悉业务，将数据分析结果应用于实际业务，推动业务解决问题，同时挖掘潜在机会，给出业务团队有效的行动建议和策略支持；3.优化和完善数据分析体系，包括报表体系，搭建分析框架，并进行核心指标监控；4.能针对具体业务问题进行专项分析，梳理分析框架，将数据分析结果转化成优化方案或提炼可复制的模板；5.研究运营数据、挖掘用户需求，参与制定增长策略，数据驱动增长。岗位要求：1.本科以上学历，2年以上数据分析岗位经验，有较强的学习能力、解决问题能力；2.有良好的数据分析能力，能找出问题关键点，能有结论，能通过数据寻找增长点；3.优秀的数据决策引导者，通过数据进行活动的评估与总结；4.有数据产品能力、建模能力，能将手工报表通过产品文档描写清楚推进产品化，建立各种数据模型对业务进行赋能；5.熟练Excel、PPT等工具，至少熟练使用SQL、Python、SPSS其中一种。
管理培训生--数据统计分析,本科,不限,德邦物流股份有限公司,--盐田区东海道427号,4.3千-5千,德邦未来之星 2018管培生计划--有胆你就来！德邦未来之星 2018管培生计划--有胆你就来！德邦未来之星 2018管培生计划--有胆你就来！德邦(股票代码603056)成立于1996年，致力成为以客户为中心，覆盖快递、快运、整车、仓储与供应链、跨境等多元业务的综合性物流供应商。我们凭借坚实的网络基础、强大的人才储备、深刻的市场洞悉，为跨行业的客户创造多元、灵活、高效的物流选择，让物流赋予企业更大的商业价值，赋予消费者更卓越的体验。德邦始终紧随客户需求而持续创新，坚持自营门店与事业合伙人相结合的网络拓展模式，搭建优选线路，优化运力成本，为客户提供快速高效、便捷及时、安全可靠的服务。截至2018年1月，公司网点近10000家，服务网络覆盖全国34个省级行政区，全国转运中心总面积超过120万平方米。目前，德邦正从国际快递、跨境电商、国际货代三大方向切入跨境市场，已开通韩国、日本、泰国等多条国际线路，全球员工人数超过13万名。2005年在同行业最早启动校园招聘以来，十一年累计招聘1万余名本硕博应届毕业生；2012-2017年连续荣获中国年度***雇主。德邦拥有独特的人才培训选拔体系，以个人能力为核心，公平公开公正，为能者提供一个开放透明的竞争平台 。德邦以进取者为本，以业绩为核心，德邦不断优化绩效考核，使资源向绩优者倾斜，激励员工专注提升客户服务体验。----------------------------------------------------------------------------------------------------------------------------德聚英才 邦你未来未来 为你而来一、成长规划管理人才和专业人才双向发展渠道1.管理通道晋升：员工→经理（周期0.7-2年）→高级经理（周期2-3年）→总监（周期3-5年）2.专业通道晋升：员工→专员（周期0.7-2年）→高级专员（周期2-3年）→资深专员（周期3-5年）二、岗位需求我们希望你：1.本科学历，专业不限，物流相关专业优先；2.应届毕业生，可接收实习生；3.熟练使用office等常用办公软件；4.热爱物流行业，认同公司企业文化及发展愿景，服从公司分配者优先；5.优秀学生干部，有实习 、大赛、社团等经历者优先。三、岗位方向我们为你提供的岗位：数据统计分析 培养方向：业务中高层管理岗、专业职能部门业务研究1.对数据进行实时收集、更新、汇总；2.根据指标跟踪、反馈异常数据；3.及时传达标准文件、监督落实。四、薪资福利为你提供：1.正式员工工资：4300-5000元左右，实习生3100-3800，月休6-7天；2.公司99%的管理人员由内部产生，所有员工可以选择管理或专业两条道路发展，公司为员工提供各类培训机会，定期组织各种业务、工作、能力提升等相关内部培训与户外拓展；3.五险一金、各类带薪休假（法定假日、年假、婚假、产假、陪产假等），提供高于同行业具有竞争力的薪资水平；4.亲情1+1（公司补贴100元，员工自己提供100元，每月固定200元打入父母帐户）、集体婚礼、家庭全程无忧、月饼到家、配车等特色福利，提供高于同行业具有竞争力的薪资水平。五、岗位定位：致未来的你：公司储备管理人员，按照公司的规划和要求，进行部门营销和客户维护活动；配合经理完成部门工作，提升部门收入，完成部门指标，对内营造良好工作氛围，对外展现良好的德邦形象。公司99％的管理人员由内部晋升，有管理型和专业型双发展通道，鼓励进行轮岗，促进个人多元化发展六、联系方式：德邦 开启未来的路简历投递邮箱：**************************（注意：近期不能上岗，请勿投递简历；请使用个人邮箱发送）（格式：姓名+学校+学历+年级+手机号码+应聘岗位）七、工作区域：深圳市面试地点：深圳盐田区东海道427号德邦1楼面试厅（深圳总部）
数据分析师,本科,3-5年,北京卡洛其咨询有限公司,荣超城市中心,1.3万-2.3万,统计建模和数据分析项目，此职位会涉及出差。岗位职责：1. 拥有良好的数据处理能力，能够熟练使用SQL，完成逻辑梳理、指标加工、技术实现、结果验证等工作；2. 具备很好的理解能力，可以根据工作目标独立开展数据分析，为业务政策的制定和调整提供依据和指导；3. 具备零售金融行业（包含信用卡、消费金融、零售信贷、互金网贷等）从业经历。任职要求：1. 统计、数学等基础学科或金融相关专业，本科及以上学历；2. 良好的问题理解能力，能够理解以及处理复杂逻辑，具有一定的文档编写能力；3. 具备统计知识，有统计分析项目实施经验优先；4. 精通SQL，有使用Python、R、SAS分析工具经验优先；5. 具备零售金融风险管理数据分析经验优先；5. 有较强的沟通协调能力。
风险管理数据分析师,本科,1-3年,深圳市人人聚财金融信息服务有限公司,南山区海信南方大厦23楼,1万-1.5万,"岗位职责:1、通过数据分析，为风险管理决策提供支持，包括但不限于客户画像、风控指标监控、外部服务效果评测、模型开发与监控、及对外数据支持（如外部机构尽职调查数据支持、监管报送等）。2、建立灵活的业务风险监控体系，开发并维护自动化报表，跟踪核心指标变化，并通过数据分析定位问题，提出解决方案。3、梳理底层数据结构和问题，与风控业务及科技团队紧密配合沟通，不断进行数据治理提高工作效率。任职要求:1、大学本科及以上学历，统计、计算机、数学相关专业，研究生优先。2、熟悉SQL数据查询，熟悉SAS, Python其中一种优先考虑。3、具备1年以上金融机构数据提取、清洗和整理经验。 4、对业务有很强的兴趣，喜欢并擅长利用数据分析来解决业务问题，沟通表达能力强，思路清晰，主动性强，有很强的自我驱动能力。"
数据分析师,本科,3-5年,北京卡洛其咨询有限公司,南福华路30号(靠近福田服装市场)荣超城市春天,1.3万-2.3万,统计建模和数据分析项目，此职位会涉及出差。岗位职责：1. 拥有良好的数据处理能力，能够熟练使用SQL，完成逻辑梳理、指标加工、技术实现、结果验证等工作；2. 具备很好的理解能力，可以根据工作目标独立开展数据分析，为业务政策的制定和调整提供依据和指导；3. 具备零售金融行业（包含信用卡、消费金融、零售信贷、互金网贷等）从业经历。任职要求：1. 统计、数学等基础学科或金融相关专业，本科及以上学历；2. 良好的问题理解能力，能够理解以及处理复杂逻辑，具有一定的文档编写能力；3. 具备统计知识，有统计分析项目实施经验优先；4. 精通SQL，有使用Python、R、SAS分析工具经验优先；5. 具备零售金融风险管理数据分析经验优先；5. 有较强的沟通协调能力。
商控+数据分析,大专,1-3年,上海迪睿服饰有限公司,深圳市南山区港湾丽都7栋12D,7千-9千,岗位职责：1、负责区域店铺业绩的跟踪及周期性数据分析；2、指导终端门店日常货品调配，及时准确地提供终端门店库存动态数据，并为区域终端门店促销活动等方面提供数据支持；3、协助分公司制定店铺年度指标并合理分解店铺月度指标、季度指标、年度指标；4、协助门店制定订货计划，优化店铺货品结构及管控策略；5、参与终端市场、竞品数据的市场调研，为终端门店货品上市、营销计划等方面提供优化建议。任职要求：1、大专及以上学历；2、2年以上服装行业货品管控工作经验；3、熟练掌握终端货品管理知识和流程4、拥有较强的数据分析能力，对数据敏感。
数据分析师,本科,1-3年,深圳前海全盈科技有限公司,深圳市福田区卓越时代广场,1万-1.5万,岗位职责:1.基于海量用户行为数据，挖掘用户特征偏好，行为轨迹，输出有价值结论，产出分析报告；2.负责为商业产品提供数据分析支持，包含但不限于产品分析、用户分析、运营分析等，并根据分析结果提出可落地的策略建议；3.针对用户行为深入研究，定期输出专题性分析报告；4.研究行业趋势，分析竞争格局，探索前沿商业机会与创新业务模式。岗位要求：1.大学本科或以上学历，统计学、数学等相关专业；2.2年以上互联网行业数据分析、数据挖掘的工作经验，对数据敏感，能从数据中发现问题，解决问题；3.精通excel、PPT办公工具，以及熟练使用SQL，掌握R、SAS、SPSS等软件使用优先；4.熟悉定性和定量研究方法，熟悉各类研究模型，如回归、聚类、因子分析等；5.主动性好，善于沟通，具备强有力的执行力薪资待遇：1.包吃包住 报销机票 工作环境好 人性化管理2. 常驻柬埔寨3. 薪资面议项目：柬埔寨头条 可下载APP了解更多内容
IT检查及数据分析岗(005134),本科,不限,中信银行股份有限公司信用卡中心,福田区福华一路中信银行大厦,面议,"岗位职责:有以下三个方向可选：一、IT检查方向1、根据上级要求与检查计划，实施信息技术领域的检查与评价项目；2、根据具体IT检查项目，制定相关检查方案、计划，负责检查实施与报告等工作；评估信息技术系统运行安全情况，及时发现信息技术风险隐患；3、及时发现信息技术类系统潜在问题和风险，提出流程优化、审计整改和制度完善建议，确保制度及流程的完整性和有效性；4、负责检查类信息系统的建设与日常维护工作；5、根据检查工作的需求，提取、分析相关数据以提供支持；6、实施各类信息安全问题和安全事件的跟踪分析，协助突发信息安全事件的应急响应与处置；7、完成领导交办的其他工作。二、数据分析挖掘方向1、开发与维护监控业务风险的模型，并进行日常监控；2、建立和完善信息技术辅助检查方法，收集、管理、维护检查所需的各类数据；3、负责检查类信息系统的建设与日常维护工作；4、负责部门内相关数据分析工具开发与维护；5、利用数据分析与挖掘技术开展非现场相关项目工作，运用深度学习、机器学习等相关算法建立聚类、分类、回归等模型解决挑战性问题；6、负责非现场相关项目调研、规划、实施、维护等工作；7、完成领导交办的其他工作。三、网络、安全渗透测试方向1、负责核心业务及产品安全架构的设计、风险评估以及安全加固；2、负责卡中心信息系统，产品APP，产品本身的漏洞挖掘和渗透测试；3、负责安全应急响应，协助开发工程师快速修复漏洞；4、对业务系统实施渗透测试、作好安全防范工作；5、负责对用户安全隐患的事件进行挖掘、追踪与清除，处理突发安全事件及黑客入侵事件6、跟踪和分析新的安全漏洞，定期的系统、网络安全风险评估和检测；7、木马、病毒、入侵、网络攻击等突发安全事件的响应；8、负责行内IT系统网络安全审计。任职资格:需满足以下三个方向之一：一、IT检查方向1、全日制本科及以上学历，计算机、审计、信息安全、金融类专业；2、掌握银行信息系统开发、测试、上线、运行等知识技能，2年以上信息安全审计工作经验；3、掌握审计方法，掌握动态口令、密码等信息安全技术；4、熟悉银行内部控制规范及内审职业准则，掌握内审项目工作流程；5、熟悉使用各种办公工具，具备数据分析能力；6、获得ISO27001、等级保护、ITIL等相关证书优先；具有CIA、CISA、CISSP认证者优先；7、具备较强的信息收集及系统性思维及逻辑分析能力，良好的语言表达能力和文字写作水平；8、责任心强，积极主动，有良好的沟通能力和团队合作能力。二、数据分析挖掘方向1、全日制本科及以上学历，数学、统计、计算机、金融类专业；2、熟练使用windows、Linux操作系统，对相关开源库进行规划、实施、使用；3、扎实的编程基础，至少精通一种编程语言，如python、R、C/C++、Java等；熟练掌握python、R、GO语言的优先考虑；4、掌握MySQL、Oracle、SQL Server、DB2等主流数据库，熟练掌握SQL语言；5、在机器学习、数据挖掘、图像、自然语言理解、信息检索等一个或多个领域有扎实的理论知识的优先考虑，熟悉tensorflow、theano、caffe、mxnet等其中一种深度学习框架，有过相关项目经验优先；6、熟悉日志分析技术及工具，具有一定的分析经验；7、优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情；8、责任心强，积极主动，有良好的沟通能力和团队合作能力。三、网络、安全渗透测试方向1、全日制本科及以上学历，数学、统计、计算机、金融类专业；2、熟悉安全测试的步骤、方法和流程,3年以上web/app 渗透测试经验；3、具备渗透测试，web应用漏洞挖掘、业务逻辑漏洞挖掘的实战经验；4、熟悉主流的WEB安全工具，如：SqlMap，APPScan、Inspect、wvs、burpsuite等；5、熟练网络协议、Linux/Unix操作系统，熟练使用包括但不限于PHP、python、java、C#、C++等常用编程语言两门以上，熟练mssql、mysql、oracle等常用数据库，能够自己写程序解决问题。6、熟悉漏洞原理，能够独立挖掘/分析包括但不限于PHP/JAVA/.NET/ASP等大中型应用漏洞，并编写exp。7、熟悉入侵检测、WAF等安全防护手段；8、熟悉国内外网络安全产品（防火墙、IPS、防病毒网关等），并熟练掌握其工作原理和配置管理；9、精通Sniffer、MRTG/PRTG、TCPDump等常用网络测试、分析工具；10、精通端口扫描、抓包分析，暴力破解、SQL注入、跨站分析、上传漏洞、xss跨站脚本、目录遍历、文件上传、病毒木马等防范，熟悉注入和跨站攻击原理，掌握信息存储和传输安全方法；11、精通安全数据交换系统及防火墙、网闸、VPN、IDS、Scaner等常见网络安全产品的配置及安装；拥有CCNP/CCIE/CISSP/CISP等相关证书者优先；"
